code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
803632,Centro de Acolhimento Infantil Bairro da Cruz Vermelha - Santa Casa da Misericórdia de Lisboa,"Rua Maria Margarida - Bairro da Cruz Vermelha, 1750-186 LISBOA, Lisboa, Portugal",Rua Maria Margarida - Bairro da Cruz Vermelha,LISBOA,Lisboa,Lisboa,1750-186,Publico,Pré-escolar
290117,"Escola Básica de Assafora, Sintra","R. dos Moinhos, 2705-434 SÃO JOÃO DAS LAMPAS, Sintra, Portugal",R. dos Moinhos,SÃO JOÃO DAS LAMPAS,Sintra,Lisboa,2705-434,Publico,Pré-escolar|1º Ciclo
806200,Escola da Terra,"Rua da Igreja, 2705-001 COLARES, Sintra, Portugal",Rua da Igreja,COLARES,Sintra,Lisboa,2705-001,Privado,Pré-escolar|1º Ciclo
245835,"Jardim de Infância de Camarões, Sintra","R. do Ginjal, 2715-311 ALMARGEM DO BISPO, Sintra, Portugal",R. do Ginjal,ALMARGEM DO BISPO,Sintra,Lisboa,2715-311,Publico,Pré-escolar
800167,CERCISA Coop. Educ. Reab. Cri. Inadaptadas,"Rua Eça de Queirós, 2855-236 CORROIOS, Seixal, Portugal",Rua Eça de Queirós,CORROIOS,Seixal,Setúbal,2855-236,Privado,1º Ciclo|Especial
342178,"Escola Básica e Secundária Matilde Rosa Araújo, Matarraque, Cascais","Avenida das Descobertas, 2785-438 SÃO DOMINGOS DE RANA, Cascais, Portugal",Avenida das Descobertas,SÃO DOMINGOS DE RANA,Cascais,Lisboa,2785-438,Publico,2º Ciclo|3º Ciclo|Secundário|Profissional
517549,Jardim de Infância Fundação Obra de Nossa Senhora da Purificação,"Estrada da Circunvalação, nº 5 Portela de Sacavém, 1800-134 LISBOA, Lisboa, Portugal","Estrada da Circunvalação, nº 5 Portela de Sacavém",LISBOA,Lisboa,Lisboa,1800-134,Privado,Pré-escolar
507799,Academia de Música e Belas-Artes Luísa Todi,"Rua Acácio Barradas, 2900-197 SETÚBAL, Setúbal, Portugal",Rua Acácio Barradas,SETÚBAL,Setúbal,Setúbal,2900-197,Privado,Pré-escolar|1º Ciclo|2º Ciclo|Artistico
806185,B-A-BABY,"Rua da Piscina, nº 6 E - Miraflores, 1495-150 ALGÉS, Oeiras, Portugal","Rua da Piscina, nº 6 E - Miraflores",ALGÉS,Oeiras,Lisboa,1495-150,Privado,Pré-escolar
800372,Colégio Infanta D. Maria de Portugal - Prime School of Portugal,"Rua Mestre Neves, 20, 2710-422 SINTRA, Sintra, Portugal","Rua Mestre Neves, 20",SINTRA,Sintra,Lisboa,2710-422,Privado,
519169,Jardim de Infância do Centro Social e Paroquial Cristo Rei,"Rua Da Bela Vista, N.º 22, 2825-172 CAPARICA, Almada, Portugal","Rua Da Bela Vista, N.º 22",CAPARICA,Almada,Setúbal,2825-172,Privado,Pré-escolar
290208,"Escola Básica de Manique de Cima, Sintra","R. Fernando Pessoa, 2710-404 SINTRA, Sintra, Portugal",R. Fernando Pessoa,SINTRA,Sintra,Lisboa,2710-404,Publico,1º Ciclo
806885,"Jardim de Infância de Corroios, Seixal","Rua Cidade de Lobito, 2855-073 CORROIOS, Seixal, Portugal",Rua Cidade de Lobito,CORROIOS,Seixal,Setúbal,2855-073,Publico,Pré-escolar
341307,"Escola Básica e Secundária Dr. Rui Grácio, Montelavar, Sintra","R. Arq. José Luís Monteiro, 2715-681 MONTELAVAR, Sintra, Portugal",R. Arq. José Luís Monteiro,MONTELAVAR,Sintra,Lisboa,2715-681,Publico,2º Ciclo|3º Ciclo|Secundário|Profissional
803349,International House,"Avenida Alfredo da Silva, 57, 2830-302 BARREIRO, Barreiro, Portugal","Avenida Alfredo da Silva, 57",BARREIRO,Barreiro,Setúbal,2830-302,Privado,Extra-escolar
806504,Conservatório de Música de Mafra,"Largo Coronel Brito Gorjão, 2640-465 MAFRA, Mafra, Portugal",Largo Coronel Brito Gorjão,MAFRA,Mafra,Lisboa,2640-465,Privado,Artistico
250430,Escola Básica de Almada,"R. D. Mª da Silva, 2800-166 ALMADA, Almada, Portugal",R. D. Mª da Silva,ALMADA,Almada,Setúbal,2800-166,Publico,Pré-escolar|1º Ciclo
283289,"Escola Básica de Vila Chã, Barreiro","Largo do Rosmaninho, 2835-762 SANTO ANTÓNIO DA CHARNECA, Barreiro, Portugal",Largo do Rosmaninho,SANTO ANTÓNIO DA CHARNECA,Barreiro,Setúbal,2835-762,Publico,Pré-escolar|1º Ciclo
