stop_id,stop_name,tts_stop_name
130719,LAGAMEÇAS X R JOSÉ GARCIA SILVA,Cruzamento Entre Lagameças E Rua José Garcia Silva
130720,QTA DO ANJO (RUA 5 DE OUTUBRO),Quinta Do Anjo ( Rua 5 De Outubro )
130721,QTA DO ANJO (RUA 5 DE OUTUBRO),Quinta Do Anjo ( Rua 5 De Outubro )
130722,BAIRRO DA MARGAÇA,Bairro Da Margaça
130723,BAIRRO DA MARGAÇA,Bairro Da Margaça
130724,OLHOS ÁGUA (RUA DA ESCOLA),Olhos Água ( Rua Da Escola )
130725,OLHOS ÁGUA (RUA DA ESCOLA),Olhos Água ( Rua Da Escola )
130726,OLHOS ÁGUA (RUA MARQUÊS POMBAL),Olhos Água ( Rua Marquês Pombal )
130727,OLHOS ÁGUA (RUA MARQUÊS POMBAL),Olhos Água ( Rua Marquês Pombal )
130728,OLHOS ÁGUA (RUA DA CONSTITUIÇÃO),Olhos Água ( Rua Da Constituição )
130729,OLHOS ÁGUA (RUA DA CONSTITUIÇÃO),Olhos Água ( Rua Da Constituição )
130730,OLHOS ÁGUA (RUA DA BEIRA LITORAL),Olhos Água ( Rua Da Beira Litoral )
130731,OLHOS ÁGUA (RUA DA BEIRA LITORAL),Olhos Água ( Rua Da Beira Litoral )
130732,OLHOS ÁGUA (RUA DA BEIRA BAIXA),Olhos Água ( Rua Da Beira Baixa )
130733,OLHOS ÁGUA (RUA DA BEIRA BAIXA),Olhos Água ( Rua Da Beira Baixa )
130734,OLHOS ÁGUA (RUA DO RIBATEJO),Olhos Água ( Rua Do Ribatejo )
130735,OLHOS ÁGUA (RUA DO RIBATEJO),Olhos Água ( Rua Do Ribatejo )
130736,PALMELA (ARMAZÉNS GERAIS MUN.),Palmela ( Armazéns Gerais Municipais. )
130737,PALMELA (ARMAZÉNS GERAIS MUN.),Palmela ( Armazéns Gerais Municipais. )
130740,PINHAL NOVO (AV FERROVIARIOS NORTE),Pinhal Novo ( Avenida Ferroviarios Norte )
130741,PINHAL NOVO (AV FERROVIARIOS NORTE),Pinhal Novo ( Avenida Ferroviarios Norte )
130742,PINHAL NOVO (AV FERROVIARIOS SUL),Pinhal Novo ( Avenida Ferroviarios Sul )
130743,PINHAL NOVO (AV FERROVIARIOS SUL),Pinhal Novo ( Avenida Ferroviarios Sul )
130744,PALMELA (ALAM NUN'ALVARES PEREIRA),Palmela ( Alameda Nun'alvares Pereira )
130750,MARQUESA (RUA 25) ROTUNDA,Marquesa ( Rua 25 ) Rotunda
130751,MARQUESA (RUA 25) ROTUNDA,Marquesa ( Rua 25 ) Rotunda
130752,MARQUESA (RUA 30),Marquesa ( Rua 30 )
130753,MARQUESA (RUA 30),Marquesa ( Rua 30 )
130755,ALGERUZ (M542 STAND AUTO),Algeruz ( Estrada Municipal 542 Stand Auto )
130756,ALGERUZ (M542 STAND AUTO),Algeruz ( Estrada Municipal 542 Stand Auto )
130801,PALMELA (TERMINAL - P1),Palmela ( Terminal - P 1 )
130802,PALMELA (TERMINAL - P2),Palmela ( Terminal - P 2 )
130803,PALMELA (TERMINAL - P3),Palmela ( Terminal - P 3 )
130804,PALMELA (TERMINAL - P4),Palmela ( Terminal - P 4 )
130805,PALMELA (TERMINAL - P5),Palmela ( Terminal - P 5 )
130806,PALMELA (TERMINAL - P6),Palmela ( Terminal - P 6 )
130807,PALMELA (TERMINAL - P7),Palmela ( Terminal - P 7 )
130808,PALMELA (TERMINAL - P8),Palmela ( Terminal - P 8 )
130809,PALMELA (TERMINAL - P9),Palmela ( Terminal - P 9 )
130810,PALMELA (TERMINAL - P10),Palmela ( Terminal - P 10 )
140001,EN 10 (PLACA LOCALIDADE),Estrada Nacional 10 ( Placa Localidade )
140002,EN 10 (PLACA LOCALIDADE),Estrada Nacional 10 ( Placa Localidade )
140003,EN 10 (PARQUE INDUSTRIAL SEIXAL),Estrada Nacional 10 ( Parque Industrial Seixal )
140004,EN 10 (PARQUE INDUSTRIAL SEIXAL),Estrada Nacional 10 ( Parque Industrial Seixal )
140005,EN 10 (KM 14800),Estrada Nacional 10 ( Quilómetro 14800 )
140006,EN 10 (KM 14800),Estrada Nacional 10 ( Quilómetro 14800 )
140007,PAIO PIRES X EN10-2,Cruzamento Entre Paio Pires E Estrada Nacional 10 - 2
140008,PAIO PIRES X EN10-2,Cruzamento Entre Paio Pires E Estrada Nacional 10 - 2
140009,Bº CUCENA (EN 10-2) X SIDERURGIA,Cruzamento Entre Bairro Cucena ( Estrada Nacional 10 - 2 ) E Siderurgia
140010,Bº CUCENA (EN 10-2) X SIDERURGIA,Cruzamento Entre Bairro Cucena ( Estrada Nacional 10 - 2 ) E Siderurgia
140011,PAIO PIRES - EN 10-2 20,Paio Pires - Estrada Nacional 10 - 2 20
140012,PAIO PIRES - EN 10-2 20,Paio Pires - Estrada Nacional 10 - 2 20
140013,EN 10-2 - GNR,Estrada Nacional 10 - 2 - Guarda
140014,EN 10-2 - GNR,Estrada Nacional 10 - 2 - Guarda
140015,EN10-2 - SIDERURGIA-PORTARIA 1,Estrada Nacional 10 - 2 - Siderurgia-portaria 1
140017,EN10-2 - TRASEIRAS SIDERURGIA,Estrada Nacional 10 - 2 - Traseiras Siderurgia
140018,EN10-2 - TRASEIRAS SIDERURGIA,Estrada Nacional 10 - 2 - Traseiras Siderurgia
140019,AV GEN H DELG - COOP SIDERURGIA,Avenida General Humberto Delgado - Cooperativa Siderurgia
140020,AV GEN H DELG - COOP SIDERURGIA,Avenida General Humberto Delgado - Cooperativa Siderurgia
140021,PAIO PIRES (SOC FILARMÓNICA 5 OUT),Paio Pires ( Sociedade Filarmónica 5 Outubro )
140023,PAIO PIRES (AV GEN H DELGADO) FARMÁCIA,Paio Pires ( Avenida General Humberto Delgado ) Farmácia
140025,EN10-2 - SIDERURGIA-PORTARIA 1,Estrada Nacional 10 - 2 - Siderurgia-portaria 1
140027,Estação de Coina P1,Estação De Coina P 1
140028,Estação de Coina P5,Estação De Coina P 5
140029,PAIO PIRES X (EN10 KM 14),Cruzamento Entre Paio Pires E ( Estrada Nacional 10 Quilómetro 14 )
140031,CASAL MARCO (EN 10 KM 13000),Casal Marco ( Estrada Nacional 10 Quilómetro 13000 )
140032,CASAL MARCO (EN 10 KM 13000),Casal Marco ( Estrada Nacional 10 Quilómetro 13000 )
140033,CASAL MARCO (EN10 KM 12500),Casal Marco ( Estrada Nacional 10 Quilómetro 12500 )
140035,CASAL MARCO (R DESEMBARGADOR72) MERCADO,Casal Marco ( Rua Desembargador 72 ) Mercado
140037,CASAL MARCO (R CASAL MARCO 172),Casal Marco ( Rua Casal Marco 172 )
140039,Estação do Fogueteiro P3,Estação Do Fogueteiro P 3
